#,Term,Sinhala Term,Tamil Term,Glossary
1,a vinculo matrimonii,බැඳීම් රහිත දික්කසාදය,பிணைப்பற்ற விவாகரத்து,Law
2,ab initio,මුල පටන්,ஆதிதொட்டு; தொடக்கத்திலிருந்து,Law
3,ab intetato,තෙස්තමේන්තු රහිතව; අන්තිම කැමති පත‍්‍රයක් නොමැතිව,சொத்தறுதியிலாவழி,Law
4,abandon,අත්හරිනවා,கைவிடு,Law
5,abandoned goods,අත්හළ බඩු,கைவிடப்பட்ட பண்டங்கள்,Law
6,abandoned grounds,අත්හළ බිම්; අත්හළ හේතු,கைவிடப்பட்ட நிலங்கள்,Law
7,abandoned property,අත්හළ දේපළ,கைவிடப்பட்ட ஆதனம்,Law
8,abandonment,අත්හැරීම,கைவிடுகை,Law
9,abate,අවකරණය කරනවා; නතර කරනවා,தணி; அருகியற்றுப்போ ;தாழ்த்து ; குறை ; தணி தள்ளுபடிசெய் ; விலக்கிவை .,Law
10,abbreviation,සංක්ෂිප්තය; සංක්ෂේපණය,குறுக்கம்;  குறியீடு ; சுருக்கம்,Law
11,abdicate,අත් හරිනවා; අපත්‍යජනය කරනවා,பதவி துறத்தல்,Law
12,abdication,අත්හැරීම (සිහසුන),துறத்தல்; உரிமை துறப்பு,Law
13,abduction,පැහැරගෙන යාම,கடத்திச் செல்லுதல் ;பலாத்காரமாக எடுத்துச் செல்லுதல் ; பிரித்தெடுத்தல்,Law
14,abet,අනුබල දෙනවා (වරදකට),உடந்தையாயிரு; தூண்டிவிடு; ஒத்தாசைபுரி;தீயசெயலுக்குத் துணை புரிதல் /ஆதரவளித்தல்,Law
15,abetment,අනුබලදීම (වරදකට),தூண்டுகை; உடந்தை; ஒத்தாசை ; தீசெயலுக்கு உதவுதல் /ஆதரவளித்தல்,Law
16,abettor,අනුබල දෙන්නා,குற்றத்திற்கு உடந்தையாக இருப்பவர்,Law
17,abeyance,තාවකාලික නැවැත්වීම,நிறுத்தி வைத்தல்,Law
18,abide by arbitration,බේරුම් කිරීමෙහි පිහිටනවා,நடுத்தீர்ப்புக்கு அமைந்தொழுகு,Law
19,ability,ශක්‍යතාව,திறமை; சக்தி; ஆற்றல்,Law
20,abjure,දිවුරා අත්හරිනවා,ஆணையிட்டொழி; சத்தியஞ்செய்து விட்டொழி,Law
21,abnormal,අසාමාන්‍ය; විකෘත,இயல்நெறி பிறழ்ந்த; அசாதாரண,Law
22,abode,වාසස්ථානය,இருப்பிடம்,Law
23,abolish,අහෝසි කරනවා; අවලංගු කරනවා; ආලෝපනය කරනවා,ஒழித்துக்கட்டு; நீக்கு,Law
24,abolition,අහෝසි කිරීම;  අවලංගු කිරීම; ආලෝපනය කිරීම,ஒழித்துக்கட்டுகை; நீக்கம்,Law
25,abortion,ගබ්සාව,கருக் கலைப்பு ;வளர்ச்சித் தடை ; வளர்ச்சி தடைப்பட்ட பொருள் ; உருக்கோணல் .,Law
26,above cited,ඉහත සඳහන්,மேலெடுத்துக்காட்டப்பட்ட,Law
27,above par,නියම මිලට වැඩි,விலைக்கு மேல் விலை,Law
28,abridge,ලඝු කරනවා; අඩුකරනවා; සංක්ෂිප්ත කරනවා,சுருக்கு; குறுக்கு,Law
29,abridgement,ලුහු කිරීම,சுருக்கம்; குறுக்கம்,Law
30,abrogate,නීතියක් හෝ චාරිත‍්‍රයක් අහෝසි කරනවා,வழக்கொழியச் செய்; வழக்கறு ; அதிகார பூர்வமாக இரத்து செய் ; அழி ; நீக்கு ; வழக்கொழியச் செய் .,Law
31,abrogation,අවලංගු කිරීම,நீக்கி விடுதல்,Law
32,abscond,පැනගොස් සැඟවී සිටිනවා; මඟහරිනවා,தலைமறைவாகு,Law
33,absence,පැමිණ නොසිටීම,ஆஜரின்மை,Law
34,absence beyond the seas,මුහුදින් එතෙර සිටීම,கடல்கடந்துநீங்கி வராமை,Law
35,absence from duty,රාජකාරියට නොපැමිණීම,கடமைக்கு வராமை,Law
36,absent,නොපැමිණි,வராத; இராத,Law
37,absentee landlord,පිටත පදිංචි ගෙහිමියා; ප‍්‍රවාසී ගෙහිමියා,வருகைதரா நிலக்கிழார்,Law
38,absolute,නියත; නිරපේක්ෂ; පරම; සම්පූර්ණ,முழுமையான; பூரண;முழு; இறுதி; நிபந்தனையற்ற; அறுதி,Law
39,absolute (make),නියත බවට පත් කරනවා,முழுமையாக்கு,Law
40,absolute conveyance,සම්පූර්ණ පැවරීම,முழுமையான உரித்துமாற்றம்,Law
41,absolute duty,පරම යුතුකම,பூரண தீர்வை; நிபந்தனையற்ற தீர்வை,Law
42,absolute immunity,සම්පූර්ණ මුක්තිය,பூரண விடுபாட்டுரிமை,Law
43,absolute justice,පරම යුක්තිය,முழுமையான நீதி,Law
44,absolute liability,සම්පූර්ණ බැඳීම; සම්පූර්ණ වගකීම; සම්පුර්ණ ආධීනතාව,முழுமையான பொறுப்பு,Law
45,absolute majority,පූර්ණ බහුතරය; පරම බහුතරය,அறுதி பெரும்பான்மை,Law
46,absolute monarch,පරමාධිකාරි රජ,சுயாதிபதி,Law
47,absolute order,නියත ආඥාව,முற்றான கட்டளை,Law
48,absolute owner,පරම අයිතිකරු,முழு சொந்தக்காரன்  ;தனி உரிமையாளர்,Law
49,absolute perfection,නිරපේක්ෂ පරිපූර්ණත්වය,முழுமையான செம்மை,Law
50,absolute privilege,සම්පූර්ණ වරප‍්‍රසාදය,முழுச் சிறப்புரிமை,Law
51,absolute prohibition,සම්පූර්ණ තහනම,பூரண தடை ; பூரண மதுவிலக்கு (அ) தடை செய்தல்; தடை உத்தரவு,Law
52,absolute right,පරම හිමිකම,முழு உரிமை,Law
53,absolute rule of evidence,ඒකාන්ත සාක්ෂි රීතිය,முழுமையான சான்றின் ஆட்சி,Law
54,absolute rule of law,නීතියේ පරම ආධිපත්‍යය,பூரண சட்டவாட்சி,Law
55,absolute title,පරම අයිතිය,முழுமையான உரித்து,Law
56,absolute unanimity,නිරපේක්ෂ ඒකමතිකත්වය,பூரண ஒருமைப்பாடு,Law
57,absolutely,සම්පූර්ණයෙන්ම; නිරපේක්ෂව,நிச்சயமாக; முற்றிலும்; முழுமையாக,Law
58,absolve,නිර්දෝෂී කරනවා,விடுவி;விடுதலை செய் ; நிரபராதி என அறிவி;குற்றச் சாட்டினின்றும் விடுவி ;பழி நீக்கு .,Law
59,abstain,වැළකී සිටිනවා,தவிர்; விலக்கு,Law
60,abstract,උද්ධෘතය,பொழிப்பு; பிழிவு; கருத்தியலான; தொகுப்பு,Law
61,abstract of title,අයිතියේ සාරාංශය; අන්වය පත‍්‍රය,உரித்து வரலாற்றுத் தொகுப்பு,Law
62,absurd,නිරර්ථක; හාස්‍යජනක; අර්ථශුන්‍ය,பொருளற்ற; விழலான ;காரண காரியத் தொடர்பற்ற ;நகைப்புக்கிடமான அறிவுகுறைந்தநியாயமற்ற,Law
63,abuse,අයුතු අන්දමින් පාවිච්චි කරනවා; පරිභව කරනවා ; අයථා ලෙස යොදා ගන්නවා,தூற்று; துஷ்பிரயோகம் தவறாக நடத்து ; துஷ்பிரயோகம் செய் ; தவறாகப் பயன்படுத்து ; ஏசு ; நிந்தி ; கொடுமைப் படுத்து .,Law
64,abuse of authority,බලය අනිසි ලෙස පාවිච්චි කිරීම,அதிகாரத் துஷ்பிரயோகம்,Law
65,abuse of monopoly,ඒකාධිකාරීත්වය අනිසි ලෙස යෙදීම,ஏகபோக உரிமைத் துஷ்பிரயோகம்,Law
66,abuse of powers,බලතල අයුතු අන්දමින් පාවිච්චි කිරීම,அதிகாரத் துஷ்பிரயோகம்; தத்துவத் துஷ்பிரயோகம்,Law
67,abuse of process,අධිකරණ විධාන අනිසි ලෙස යෙදීම,நீதிநெறித் துஷ்பிரயோகம்; செயல்முறைத் துஷ்பிரயோகம் ;சட்ட நடைமுறையைத் தவறாக பயன்படுத்தல்,Law
68,abusive language,පරිභව වචන; ආක්‍රෝශ වචන,அடா மொழி; வசை மொழி ; திட்டுகிற / பழி தூற்றுகிறமொழி ;வசவு;ஏசு ; ஏச்சு,Law
69,accede,එකඟ වෙනවා,இணங்கு;  ஒப்பு ; சம்மதி ; இணங்கு ; ஒத்துக்கொள்,Law
70,accelerate,ඉක්මන් කරනවා,துரிதப்படுத்து; விரைவாக்கு,Law
71,acceleration,ඉක්මන් කිරීම,விரைவாக்கல்; துரிதப்படுத்தல்,Law
72,accept,භාරගන්නවා; පිළිගන්නවා; ප‍්‍රතිග‍්‍රහණය කරනවා,ஏற்றுக்கொள்,Law
73,acceptance,භාරගැන්ම; පිළිගැනීම; ප‍්‍රතිග‍්‍රහණය,ஏற்பு; ஏற்கை; ஏற்புடைமை,Law
74,acceptance after sight,දුටු පසු පිළිගැනීම ;දුටු පසු ප්‍රතිග්‍රහණය,கண்டபின் ஏற்பு; பார்த்த பின் ஏற்பு,Law
75,acceptance for honour,ගරු කිරීම සඳහා පිළිගැනීම,மதிப்புக்காக ஏற்றல்,Law
76,acceptance for honour supra protest,ගරු කිරීම සඳහා විරෝධයෙන් පිළිගැනීම,மறுப்பின்மேல் மதிப்புக்காக ஏற்றல்,Law
77,acceptance in blank,හිස් බිල් පත‍්‍රයක් පිළිගැනීම,வெற்றாக ஏற்றல்; வெறுமையாய் ஏற்றல்,Law
78,acceptance supra protest,විරෝධයෙන් පිළිගැනීම,மறுப்பின்மேல் ஏற்றல்,Law
79,acceptilatio,ණයෙන් කල්පිත ‍‍‍ලෙස නිදහස් වීම,கடனிலிருந்து மீழுதல்,Law
80,acceptor,ප‍්‍රතිග‍්‍රාහකයා; භාරගන්නා; පිළිගන්නා,ஏற்பவர்; ஏற்குநர்; ஏற்போன்,Law
81,acceptor for honor,ගරු කිරීම සඳහා පිළිගන්නා,மதிப்புக்கு ஏற்பவர்,Law
82,access,ප‍්‍රවේශය,அணுகல்; அணுகுவழி; அணுக்கம்,Law
83,accession,එකතුවීම; ආබද්ධය; රාජ්‍ය පදවි ප‍්‍රාප්තිය,இணக்கம்; இசைவு; பதவியேற்றல்,Law
84,accession to office,ධූර ප‍්‍රාප්තිය,பதவியிலிருத்துகை,Law
85,accessory,ආධාරකරු; සහායක; ආබද්ධ; අනුබැඳි,துணைக்கருவி; துணைபோனவர்; துணைப்பொருள் ;குற்றம் செய்யத் துணையாயிருப்பவர் ;  ;குற்றம் செய்ய உதவுகிற .,Law
86,accessory after the fact,පශ්චාත් සිද්ධි සහායක,நிகழ்வின்பின் துணைபோனவர்  ;குற்றம் புரியப்பட்ட பின் துணைநிற்பவர் .,Law
87,accessory at the fact,සිද්ධි සහායක,நிகழ்வின்போது துணைபோனவர் ;குற்றம் புரியப்பட்டபோது துணைநிற்பவர்,Law
88,accessory before the fact,පූර්ව සිද්ධි සහායක,நிகழ்வின்முன் துணைபோனவர்;குற்றம் புரியப்பட முன் துணைநிற்பவர் .,Law
89,accidental,හදිසි; අහම්බෙන් සිදු වූ; අනපේක්ෂිත,தற்செயலான; கருதியிரா,Law
90,accidental consequences,අහඹු ප‍්‍රතිඑල,எதிர்பாரா விளைவுகள்,Law
91,accidental death,අහඹු මරණය; අනතුරකින් සිදුවන මරණය,தற்செயலான மரணம்; விபத்து மரணம்,Law
92,accidental insurance,හදිසි අනතුරු රක්ෂණය,விபத்துக் காப்புறுதி; விபத்துக் காப்பீடு,Law
93,accommodation,නවාතැන; අනුග්‍රහය,உறையுள்; கடனுதவி; பணஉதவி,Law
94,accommodation acceptor,පිළිසරණ පිළිගන්නා,கடனுதவி ஏற்பவர்; பணஉதவி ஏற்பவர்,Law
95,accommodation bill,අනුග‍්‍රහ බිල් පත‍්‍රය,கடனுதவி உண்டியல்; உதவியுண்டியல்,Law
96,accommodation party,අනුග‍්‍රාහක පක්ෂය,கடனுதவித் திறத்தவர்,Law
97,accomplice,අපරාධ සහායකයා,குற்றத்துணையாளி; குற்ற உடந்தையாளர்,Law
98,accord,එකඟ වෙනවා; පිරිනමනවා,ஒத்திசைவு; உடன்பாடு,Law
99,accord and satisfaction,එකඟවීම හා ඉෂ්ටකිරීම,உடன்பாடும் திருப்தியும்,Law
100,account payee,ආදායකයාගේ  ගිණුමට,பெறுவோன் கணக்குக்கு ;கணக்குடையவர் ; கணக்குரியவர் ; கணக்குடைய தொகைப் பெறுநர் .,Law
101,accountability,උත්තරදායිත්වය; වගකිවයුතු බව,வகைசொல்லற்றகவு; வகைசொல்லற் பொறுப்புடைமை ;கணக்குப் பொறுப்பு; கணக்குக் காட்டும் பொறுப்பு; பொறுப்புடைமை,Law
102,accountable,වගකිවයුතු,வகை சொல்லற்பொறுப்பு ; காரண காரிய முறைப்படி  ;பொறுப்பான ; காரணம் காட்ட வேண்டிய,Law
103,accountancy,ගණකාධිකරණය,கணக்கியல்,Law
104,accountant,ගණකාධිකාරී,கணக்காளர்,Law
105,accounting,ගණන් තැබීම; ගණන් පෙන්වීම,கணக்கு வைப்பு; கணக்கியல்,Law
106,accounts stated,ප‍්‍රකාශිත ගිණුම,சமர்ப்பித்த கணக்கு,Law
107,accredited agent,පිළිගත් නියෝජිතයා; ප‍්‍රතීත නියෝජිතයා,அதிகாரம் பெற்ற முகவர்; ஏற்பளிக்கப்பட்ட முகவர்,Law
108,accretion,උපචිතය; අතිරේක එකතු කිරීම,சேர்மானம்; சேர்க்கை,Law
109,accrual,උපචිතය,வந்துறுகை,Law
110,accrual of interest,පොළී උපචිතය,வந்துறு வட்டி,Law
111,accrue,උපචිත වෙනවා; එකතු වෙනවා,வந்துறு,Law
112,accumulated interest,එකතුවූ පොළිය; සමුච්චිත පොළිය,திரண்ட வட்டி,Law
113,accumulation,එකතුවීම; සමුච්චය,திரட்சி; திரளல்,Law
114,accumulation rule,සංචයන රීතිය,திரள்விதி,Law
115,accumulative sentence,එකතු වූ දඬුවම,திரள் தண்டனைத்தீர்ப்பு,Law
116,accuracy,නිරවද්‍යතාව,துல்லியம்; செப்பம்; திட்பம்; அச்சொட்டாம்தன்மை,Law
117,accurate list,නිවැරදි ලැයිස්තුව,அச்சொட்டான நிரல்,Law
118,accuse,චෝදනා කරනවා ; දෝෂාරෝපණය කරනවා,குற்றஞ்சாட்டு; குற்றஞ்சுமத்து,Law
119,accused,චුදිතයා,குற்றஞ்சாட்டப்பட்டவர்,Law
120,acknowledgement,භාර ගැනීම; පිළිගැනීම,ஒப்புதல்; ஒப்புக்கோடல்,Law
